"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
138299;299339;2018-05-20;"domingo";"19:15:00";"RS";285;208,5;"LAGOA VERMELHA";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";244376;"Automóvel";"GM/VECTRA GLS";1997;"Passageiro";"Lesões Leves";28;"Masculino";0;1;0;0;"-28.22415302";"-51.61091566";"SR-RS";"DEL14/8";"UOP05/RS"
138299;299341;2018-05-20;"domingo";"19:15:00";"RS";285;208,5;"LAGOA VERMELHA";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";244377;"Automóvel";"RENAULT/SCENIC RXE 2.0";1999;"Condutor";"Lesões Leves";41;"Masculino";0;1;0;0;"-28.22415302";"-51.61091566";"SR-RS";"DEL14/8";"UOP05/RS"
138299;299340;2018-05-20;"domingo";"19:15:00";"RS";285;208,5;"LAGOA VERMELHA";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";244376;"Automóvel";"GM/VECTRA GLS";1997;"Passageiro";"Lesões Graves";21;"Masculino";0;0;1;0;"-28.22415302";"-51.61091566";"SR-RS";"DEL14/8";"UOP05/RS"
138349;299393;2018-05-10;"quinta-feira";"15:35:00";"RS";153;5,5;"MARCELINO RAMOS";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";244435;"Caminhonete";"CHEVROLET/S10 LTZ DD4A";2015;"Condutor";"Lesões Leves";80;"Masculino";0;1;0;0;"-27.40873";"-52.016018";"SR-RS";"DEL9/8";"UOP02/RS"
138349;299394;2018-05-10;"quinta-feira";"15:35:00";"RS";153;5,5;"MARCELINO RAMOS";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";244436;"Caminhão";"VOLVO/VM 260 6X2R";2009;"Condutor";"Ileso";38;"Masculino";1;0;0;0;"-27.40873";"-52.016018";"SR-RS";"DEL9/8";"UOP02/RS"
138349;299395;2018-05-10;"quinta-feira";"15:35:00";"RS";153;5,5;"MARCELINO RAMOS";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";244435;"Caminhonete";"CHEVROLET/S10 LTZ DD4A";2015;"Passageiro";"Lesões Leves";78;"Feminino";0;1;0;0;"-27.40873";"-52.016018";"SR-RS";"DEL9/8";"UOP02/RS"
138366;301728;2018-06-06;"quarta-feira";"19:20:00";"RS";392;37,6;"RIO GRANDE";"Sim";"Falta de Atenção do Pedestre";1;"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";246435;"Caminhão-trator";"VOLVO/FH 460 6X2T";2014;"Condutor";"Ileso";49;"Masculino";1;0;0;0;"-31.981192";"-52.295605";"SR-RS";"DEL9/7";"UOP02/RS"
138366;301532;2018-06-06;"quarta-feira";"19:20:00";"RS";392;37,6;"RIO GRANDE";"Sim";"Falta de Atenção do Pedestre";1;"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";246440;"Semireboque";"SR/RANDON SR CC";2011;"Pedestre";"Óbito";32;"Masculino";0;0;0;1;"-31.981192";"-52.295605";"SR-RS";"DEL9/7";"UOP02/RS"
138376;299452;2018-05-18;"sexta-feira";"05:30:00";"RS";285;507;"ENTRE-IJUIS";"Não";"Pista Escorregadia";2;"Colisao com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";244465;"Caminhão-trator";"I/SCANIA 124 L 420";2008;"Passageiro";"Lesões Leves";38;"Masculino";0;1;0;0;"-28.397076";"-54.354954";"SR-RS";"DEL9/10";"UOP01/RS"
138376;299451;2018-05-18;"sexta-feira";"05:30:00";"RS";285;507;"ENTRE-IJUIS";"Não";"Pista Escorregadia";2;"Colisao com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";244465;"Caminhão-trator";"I/SCANIA 124 L 420";2008;"Condutor";"Lesões Leves";49;"Masculino";0;1;0;0;"-28.397076";"-54.354954";"SR-RS";"DEL9/10";"UOP01/RS"
